"[13, 54, 31, 41, 25, 31]","[12, 45, 25, 33, 22, 24]","[11, 43, 15, 30, 15, 21]","[5, 33, 13, 23, 13, 14]","[4, 25, 11, 13, 11, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[13, 55, 32, 41, 23, 31]","[12, 51, 25, 32, 21, 24]","[11, 43, 15, 30, 15, 21]","[5, 33, 13, 23, 13, 14]","[4, 25, 11, 13, 11, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[14, 45, 41, 33, 32, 30]","[12, 42, 35, 24, 24, 24]","[11, 40, 25, 22, 15, 22]","[5, 32, 15, 21, 13, 15]","[4, 23, 12, 14, 12, 11]","[3, 13, 4, 12, 5, 10]","[1, 5, 2, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
"[14, 51, 41, 32, 31, 30]","[12, 42, 35, 24, 24, 24]","[11, 40, 25, 22, 15, 22]","[5, 32, 15, 21, 13, 15]","[4, 23, 12, 14, 12, 11]","[3, 13, 4, 12, 5, 10]","[1, 5, 2, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
"[14, 53, 42, 32, 25, 25]","[13, 51, 33, 25, 22, 21]","[12, 43, 24, 21, 21, 14]","[11, 34, 15, 15, 13, 13]","[10, 23, 14, 11, 11, 10]","[3, 11, 12, 5, 5, 5]","[2, 3, 10, 3, 4, 1]","[0, 0, 4, 0, 2, 0]","[0, 0, 2, 0, 0, 0]"
"[15, 50, 35, 40, 24, 31]","[12, 43, 33, 33, 21, 23]","[11, 40, 25, 22, 15, 22]","[5, 32, 15, 21, 13, 15]","[4, 23, 12, 14, 12, 11]","[3, 13, 4, 12, 5, 10]","[1, 5, 2, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
"[15, 50, 40, 34, 25, 31]","[12, 43, 34, 31, 22, 23]","[11, 40, 25, 22, 15, 22]","[5, 32, 15, 21, 13, 15]","[4, 23, 12, 14, 12, 11]","[3, 13, 4, 12, 5, 10]","[1, 5, 2, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
"[15, 50, 41, 32, 30, 31]","[12, 42, 35, 24, 24, 24]","[11, 40, 25, 22, 15, 22]","[5, 32, 15, 21, 13, 15]","[4, 23, 12, 14, 12, 11]","[3, 13, 4, 12, 5, 10]","[1, 5, 2, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
"[15, 53, 35, 35, 23, 30]","[13, 51, 33, 25, 22, 21]","[12, 43, 24, 21, 21, 14]","[11, 34, 15, 15, 13, 13]","[10, 23, 14, 11, 11, 10]","[3, 11, 12, 5, 5, 5]","[2, 3, 10, 3, 4, 1]","[0, 0, 4, 0, 2, 0]","[0, 0, 2, 0, 0, 0]"
"[20, 44, 34, 42, 32, 23]","[14, 43, 25, 34, 23, 22]","[13, 41, 20, 30, 15, 20]","[5, 33, 13, 23, 13, 14]","[4, 25, 11, 13, 11, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[20, 45, 33, 42, 31, 24]","[14, 43, 25, 34, 23, 22]","[13, 41, 20, 30, 15, 20]","[5, 33, 13, 23, 13, 14]","[4, 25, 11, 13, 11, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[20, 52, 33, 40, 24, 30]","[12, 51, 25, 32, 21, 24]","[11, 43, 15, 30, 15, 21]","[5, 33, 13, 23, 13, 14]","[4, 25, 11, 13, 11, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[23, 43, 50, 33, 25, 21]","[21, 41, 42, 24, 23, 14]","[20, 33, 33, 22, 14, 13]","[14, 30, 25, 12, 12, 12]","[12, 21, 20, 10, 10, 10]","[3, 11, 12, 5, 5, 5]","[2, 3, 10, 3, 4, 1]","[0, 0, 4, 0, 2, 0]","[0, 0, 2, 0, 0, 0]"
